1960 67.9 
1961 68 
1962 67.8 
1963 67.9 
1964 67.5 
1965 67.7 
1966 67.6 
1967 67.8 
1968 67.5 
1969 67.5 
1970 67.4 
1971 68.3 
1972 68.6 
1973 68.6 
1974 68.4 
1975 69.2 
1976 69.3 
1977 69.9 
1978 70.2 
1979 70.8 
1980 71 
1981 71.4 
1982 71.2 
1983 72.1 
1984 72.5 
1985 72.4 
1986 72.9 
1987 73.1 
1988 73.1 
1989 73.3 
1990 73.9 
1991 74.4 
1992 74.5 
1993 75 
1994 75 
1995 75 
1996 75.2 
1997 75.6 
1998 75.9 
1999 76.2 
2000 76.6 
2001 77 
2002 77.4 
2003 77.8 
2004 78.1 
2005 78.5 
2006 78.7 
2007 79 
2008 79.2 
2009 79.3 
2010 79.5 
2011 79.7 
2012 79.9 
2013 80.1 
2014 80.3 
2015 80.4 
2016 80.4 
