1960 69.8 
1961 70.6 
1962 70.3 
1963 70.1 
1964 70.9 
1965 70.7 
1966 70.8 
1967 71.1 
1968 70.8 
1969 70.9 
1970 71.1 
1971 71.2 
1972 71.5 
1973 71.7 
1974 72.1 
1975 72.1 
1976 72.2 
1977 72.9 
1978 72.8 
1979 73.3 
1980 73.3 
1981 73.7 
1982 74 
1983 74 
1984 74.5 
1985 74.6 
1986 74.8 
1987 75.5 
1988 75.7 
1989 75.7 
1990 76.1 
1991 76.3 
1992 76.5 
1993 76.5 
1994 76.8 
1995 77 
1996 77.3 
1997 77.5 
1998 77.6 
1999 77.7 
2000 77.8 
2001 78.1 
2002 78.2 
2003 78.2 
2004 79 
2005 79.1 
2006 79.5 
2007 79.9 
2008 79.8 
2009 80.1 
2010 80.3 
2011 80.7 
2012 80.5 
2013 80.7 
2014 81.4 
2015 81.1 
2016 81.5 
