1960 43.4 
1961 43.7 
1962 44.4 
1963 45.6 
1964 47.2 
1965 49.2 
1966 51.3 
1967 53.5 
1968 55.5 
1969 57.2 
1970 58.7 
1971 59.9 
1972 61 
1973 61.9 
1974 62.8 
1975 63.6 
1976 64.3 
1977 65 
1978 65.6 
1979 66.1 
1980 66.6 
1981 67 
1982 67.3 
1983 67.7 
1984 67.9 
1985 68.2 
1986 68.4 
1987 68.6 
1988 68.8 
1989 68.9 
1990 69.1 
1991 69.2 
1992 69.4 
1993 69.6 
1994 69.7 
1995 70 
1996 70.2 
1997 70.6 
1998 70.9 
1999 71.3 
2000 71.8 
2001 72.2 
2002 72.7 
2003 73.1 
2004 73.5 
2005 73.8 
2006 74.1 
2007 74.4 
2008 74.6 
2009 74.8 
2010 75 
2011 75.2 
2012 75.4 
2013 75.6 
2014 75.8 
2015 76 
