1960 44.8 
1961 45.1 
1962 45.8 
1963 47.1 
1964 48.8 
1965 50.8 
1966 53.1 
1967 55.3 
1968 57.3 
1969 59.1 
1970 60.5 
1971 61.7 
1972 62.6 
1973 63.5 
1974 64.3 
1975 65 
1976 65.7 
1977 66.4 
1978 67 
1979 67.5 
1980 68 
1981 68.5 
1982 68.9 
1983 69.2 
1984 69.5 
1985 69.8 
1986 70 
1987 70.2 
1988 70.4 
1989 70.5 
1990 70.7 
1991 70.9 
1992 71.1 
1993 71.3 
1994 71.6 
1995 71.8 
1996 72.1 
1997 72.4 
1998 72.7 
1999 73.1 
2000 73.5 
2001 73.8 
2002 74.2 
2003 74.6 
2004 75 
2005 75.3 
2006 75.7 
2007 75.9 
2008 76.2 
2009 76.4 
2010 76.6 
2011 76.8 
2012 77 
2013 77.2 
2014 77.3 
2015 77.5 
