1960 60.6 
1961 61.3 
1962 62 
1963 62.7 
1964 63.3 
1965 63.9 
1966 64.5 
1967 65 
1968 65.5 
1969 66 
1970 66.5 
1971 67 
1972 67.5 
1973 68.1 
1974 68.6 
1975 69.2 
1976 69.8 
1977 70.4 
1978 71 
1979 71.6 
1980 72.2 
1981 72.8 
1982 73.3 
1983 73.8 
1984 74.2 
1985 74.5 
1986 74.8 
1987 75.1 
1988 75.3 
1989 75.5 
1990 75.7 
1991 75.9 
1992 76.1 
1993 76.3 
1994 76.4 
1995 76.6 
1996 76.8 
1997 77 
1998 77.2 
1999 77.3 
2000 77.5 
2001 77.6 
2002 77.8 
2003 77.9 
2004 78 
2005 78.1 
2006 78.3 
2007 78.4 
2008 78.5 
2009 78.7 
2010 78.8 
2011 79 
2012 79.1 
2013 79.3 
2014 79.5 
2015 79.6 
