1960 70.4 
1967 70.3 
1968 70.6 
1969 70.7 
1970 70.7 
1971 70.7 
1972 70.7 
1973 70.8 
1974 71 
1975 71.3 
1976 70.9 
1977 71.8 
1978 71.5 
1979 71.2 
1980 71.2 
1981 71.3 
1982 71.6 
1983 71.5 
1984 71.7 
1985 71.5 
1986 71.8 
1987 71.8 
1988 72.1 
1989 72 
1990 72 
1991 72.5 
1992 72.6 
1993 72.6 
1994 72.8 
1995 72.7 
1996 73.1 
1997 73.6 
1998 74 
1999 74.2 
2000 74.5 
2001 74.7 
2002 74.8 
2003 75 
2004 75.4 
2005 76 
2006 76.1 
2007 76.2 
2008 76.5 
2009 76.9 
2010 77.2 
2011 77.8 
2012 78.1 
2013 78.3 
2014 78.7 
2015 78.8 
2016 79 
