1960 73.1 
1961 73.3 
1962 73.2 
1963 73.6 
1964 74.2 
1965 74.3 
1966 74.4 
1967 74.8 
1968 74.5 
1969 74.4 
1970 74.5 
1971 74.8 
1972 74.7 
1973 74.7 
1974 75.1 
1975 74.8 
1976 74.4 
1977 74.5 
1978 74.5 
1979 74.2 
1980 74.3 
1981 74.1 
1982 74.7 
1983 74.8 
1984 74.3 
1985 74.5 
1986 75.1 
1987 75.1 
1988 75 
1989 74.9 
1990 74.9 
1991 75 
1992 74.8 
1993 74 
1994 72.9 
1995 74.3 
1996 75.6 
1997 75.9 
1998 75.4 
1999 76.1 
2000 76.4 
2001 76.5 
2002 77.2 
2003 77.2 
2004 78 
2005 78.2 
2006 78.6 
2007 78.9 
2008 79.5 
2009 80.3 
2010 80.8 
2011 81.3 
2012 81.5 
2013 81.7 
2014 81.9 
2015 82.2 
2016 82.2 
