1960 68.1 
1961 69 
1962 67.9 
1963 69 
1964 69.5 
1965 69.1 
1966 69.9 
1967 69.5 
1968 69.3 
1969 69.4 
1970 69.2 
1971 69.1 
1972 69.8 
1973 69.6 
1974 69.3 
1975 69.4 
1976 69.7 
1977 70 
1978 69.5 
1979 69.7 
1980 69.2 
1981 69.3 
1982 69.5 
1983 69.1 
1984 69.2 
1985 69.2 
1986 69.3 
1987 69.8 
1988 70.2 
1989 69.6 
1990 69.5 
1991 69.6 
1992 69.4 
1993 69.4 
1994 69.8 
1995 70.1 
1996 70.7 
1997 71.1 
1998 71.1 
1999 71.2 
2000 71.9 
2001 72.5 
2002 72.5 
2003 72.6 
2004 73 
2005 73 
2006 73.5 
2007 73.6 
2008 74.2 
2009 74.4 
2010 74.7 
2011 75 
2012 75.2 
2013 75.7 
2014 75.9 
2015 75.7 
2016 76.2 
