1960 41.9 
1961 42.5 
1962 43.1 
1963 43.8 
1964 44.4 
1965 45 
1966 45.7 
1967 46.3 
1968 47 
1969 47.6 
1970 48.3 
1971 48.9 
1972 49.5 
1973 50.1 
1974 50.7 
1975 51.3 
1976 51.8 
1977 52.4 
1978 52.9 
1979 53.3 
1980 53.8 
1981 54.2 
1982 54.6 
1983 55 
1984 55.3 
1985 55.7 
1986 56.1 
1987 56.4 
1988 56.8 
1989 57.2 
1990 57.6 
1991 58 
1992 58.5 
1993 58.9 
1994 59.4 
1995 59.8 
1996 60.2 
1997 60.6 
1998 61 
1999 61.4 
2000 61.8 
2001 62.2 
2002 62.6 
2003 62.9 
2004 63.3 
2005 63.7 
2006 64 
2007 64.4 
2008 64.7 
2009 65 
2010 65.4 
2011 65.7 
2012 66 
2013 66.3 
2014 66.6 
2015 66.9 
