1960 41.2 
1961 41.8 
1962 42.4 
1963 43 
1964 43.7 
1965 44.3 
1966 45 
1967 45.7 
1968 46.4 
1969 47 
1970 47.7 
1971 48.4 
1972 49.1 
1973 49.8 
1974 50.4 
1975 51.1 
1976 51.7 
1977 52.3 
1978 52.8 
1979 53.4 
1980 53.9 
1981 54.3 
1982 54.7 
1983 55.1 
1984 55.5 
1985 55.9 
1986 56.2 
1987 56.6 
1988 57 
1989 57.5 
1990 58 
1991 58.4 
1992 59 
1993 59.5 
1994 60 
1995 60.5 
1996 60.9 
1997 61.4 
1998 61.8 
1999 62.2 
2000 62.7 
2001 63 
2002 63.4 
2003 63.8 
2004 64.2 
2005 64.5 
2006 64.9 
2007 65.3 
2008 65.7 
2009 66.1 
2010 66.5 
2011 66.9 
2012 67.3 
2013 67.7 
2014 68 
2015 68.4 
