1960 47.3 
1961 47.9 
1962 48.6 
1963 49.2 
1964 49.8 
1965 50.4 
1966 51 
1967 51.6 
1968 52.2 
1969 52.8 
1970 53.4 
1971 54 
1972 54.5 
1973 55.1 
1974 55.6 
1975 56.1 
1976 56.6 
1977 57.1 
1978 57.6 
1979 58 
1980 58.5 
1981 58.9 
1982 59.3 
1983 59.7 
1984 60 
1985 60.3 
1986 60.6 
1987 60.9 
1988 61.2 
1989 61.5 
1990 61.9 
1991 62.2 
1992 62.5 
1993 62.9 
1994 63.2 
1995 63.5 
1996 63.8 
1997 64 
1998 64.2 
1999 64.4 
2000 64.6 
2001 64.7 
2002 64.8 
2003 65 
2004 65.1 
2005 65.2 
2006 65.4 
2007 65.6 
2008 65.7 
2009 65.9 
2010 66.1 
2011 66.3 
2012 66.5 
2013 66.7 
2014 66.9 
2015 67 
