1960 50.1 
1961 50.7 
1962 51.3 
1963 51.8 
1964 52.4 
1965 53 
1966 53.5 
1967 54.1 
1968 54.6 
1969 55.2 
1970 55.7 
1971 56.3 
1972 56.8 
1973 57.4 
1974 57.9 
1975 58.4 
1976 58.9 
1977 59.4 
1978 59.9 
1979 60.3 
1980 60.8 
1981 61.2 
1982 61.6 
1983 62 
1984 62.4 
1985 62.8 
1986 63.2 
1987 63.6 
1988 64 
1989 64.4 
1990 64.7 
1991 65.1 
1992 65.5 
1993 65.9 
1994 66.2 
1995 66.6 
1996 66.9 
1997 67.2 
1998 67.5 
1999 67.8 
2000 68 
2001 68.2 
2002 68.5 
2003 68.7 
2004 69 
2005 69.2 
2006 69.4 
2007 69.7 
2008 69.9 
2009 70.1 
2010 70.3 
2011 70.5 
2012 70.6 
2013 70.8 
2014 71 
2015 71.2 
