1960 67.8 
1961 68.4 
1962 68.7 
1963 69.8 
1964 70.3 
1965 70.3 
1966 71 
1967 71.5 
1968 71.7 
1969 71.9 
1970 72 
1971 72.9 
1972 73.2 
1973 73.4 
1974 73.7 
1975 74.3 
1976 74.8 
1977 75.3 
1978 75.7 
1979 76.2 
1980 76.1 
1981 76.5 
1982 76.9 
1983 77 
1984 77.4 
1985 77.6 
1986 78.1 
1987 78.5 
1988 78.4 
1989 78.8 
1990 78.9 
1991 79.1 
1992 79.2 
1993 79.4 
1994 79.8 
1995 79.6 
1996 80.3 
1997 80.5 
1998 80.6 
1999 80.5 
2000 81.2 
2001 81.5 
2002 81.8 
2003 81.8 
2004 82.1 
2005 82 
2006 82.4 
2007 82.6 
2008 82.7 
2009 83 
2010 82.9 
2011 82.7 
2012 83.2 
2013 83.4 
2014 83.7 
2015 83.9 
2016 84.1 
