1960 70.2 
1961 70.8 
1962 71.2 
1963 72.3 
1964 72.9 
1965 72.9 
1966 73.6 
1967 74.2 
1968 74.3 
1969 74.7 
1970 74.7 
1971 75.6 
1972 75.9 
1973 76 
1974 76.3 
1975 76.9 
1976 77.4 
1977 78 
1978 78.3 
1979 78.9 
1980 78.8 
1981 79.1 
1982 79.7 
1983 79.8 
1984 80.2 
1985 80.5 
1986 80.9 
1987 81.4 
1988 81.3 
1989 81.8 
1990 81.9 
1991 82.1 
1992 82.2 
1993 82.5 
1994 83 
1995 82.9 
1996 83.6 
1997 83.8 
1998 84 
1999 84 
2000 84.6 
2001 84.9 
2002 85.2 
2003 85.3 
2004 85.6 
2005 85.5 
2006 85.8 
2007 86 
2008 86.1 
2009 86.4 
2010 86.3 
2011 85.9 
2012 86.4 
2013 86.6 
2014 86.8 
2015 87 
2016 87.1 
