1970 65.8 
1971 66.3 
1972 66.8 
1973 67.3 
1974 67.8 
1975 68.2 
1976 68.6 
1977 69.1 
1978 69.5 
1979 69.9 
1980 70.4 
1981 70.9 
1982 71.5 
1983 71.9 
1984 72.6 
1985 73.2 
1986 73.8 
1987 74.3 
1988 74.8 
1989 75.3 
1990 75.9 
1991 76.4 
1992 76.8 
1993 77.3 
1994 77.7 
1995 77.9 
1996 78.3 
1997 78.7 
1998 79 
1999 79.2 
2000 79.7 
2001 80.1 
2002 80.3 
2003 80.8 
2004 81.2 
2005 81.6 
2006 82.1 
2007 82.5 
2008 83 
2009 83.4 
2010 83.6 
2011 84 
2012 84.2 
2013 84.6 
2014 85 
2015 85.2 
2016 85.4 
