1960 66.5 
1971 66.2 
1972 67.7 
1973 66.9 
1974 67.1 
1975 67.3 
1976 67.2 
1977 68.2 
1978 68.5 
1979 69 
1980 70 
1981 68.9 
1982 68.9 
1983 69.9 
1984 69.7 
1985 70.3 
1986 70.7 
1987 70.6 
1988 71 
1989 71.2 
1990 72.4 
1991 72 
1992 71.9 
1993 72.2 
1994 73.2 
1995 73 
1996 73.3 
1997 74 
1998 73.7 
1999 74.4 
2000 74.6 
2001 75.1 
2002 74.6 
2003 74.8 
2004 76 
2005 76.7 
2006 76.8 
2007 76.7 
2008 78.1 
2009 78.1 
2010 77.9 
2011 78.5 
2012 79.1 
2013 79.8 
2014 79.4 
2015 80 
2016 80.1 
