1960 55.8 
1961 56.5 
1962 57.1 
1963 57.6 
1964 58.1 
1965 58.5 
1966 58.8 
1967 59 
1968 59.2 
1969 59.5 
1970 58.5 
1971 60.2 
1972 60.7 
1973 61.2 
1974 61.7 
1975 62 
1976 62.4 
1977 62.8 
1978 63.1 
1979 63.6 
1980 64.1 
1981 64.6 
1982 65.1 
1983 65.6 
1984 66.1 
1985 66.6 
1986 67 
1987 67.3 
1988 67.7 
1989 67.9 
1990 67 
1991 67.5 
1992 68 
1993 68.4 
1994 68.8 
1995 69.2 
1996 69.5 
1997 69.8 
1998 70 
1999 70.3 
2000 70.5 
2001 70.7 
2002 70.8 
2003 71 
2004 71.2 
2005 71.3 
2006 71.4 
2007 71.5 
2008 71.3 
2009 71.1 
2010 71.1 
2011 71.2 
2012 71.4 
2013 71.7 
2014 72.1 
2015 72.3 
2016 72.6 
2017 72.9 
