1960 59.2 
1961 59.8 
1962 60.5 
1963 61 
1964 61.6 
1965 62.1 
1966 62.5 
1967 62.9 
1968 63.3 
1969 63.7 
1970 63.2 
1971 64.6 
1972 65.4 
1973 66.1 
1974 66.7 
1975 67.3 
1976 67.9 
1977 68.5 
1978 69 
1979 69.6 
1980 70.2 
1981 70.7 
1982 71.2 
1983 71.6 
1984 72 
1985 72.4 
1986 72.8 
1987 73.1 
1988 73.5 
1989 73.6 
1990 74 
1991 74.3 
1992 74.6 
1993 74.9 
1994 75.1 
1995 75.3 
1996 75.5 
1997 75.7 
1998 75.9 
1999 76 
2000 76.1 
2001 76.3 
2002 76.4 
2003 76.5 
2004 76.6 
2005 76.7 
2006 76.8 
2007 76.9 
2008 76.9 
2009 76.9 
2010 77 
2011 77.2 
2012 77.3 
2013 77.4 
2014 77.5 
2015 77.7 
2016 77.8 
2017 77.9 
