1960 75.4 
1961 75.9 
1962 75.7 
1963 75.8 
1964 76.3 
1965 76.1 
1966 76.1 
1967 76.6 
1968 76.4 
1969 76.3 
1970 76.5 
1971 76.8 
1972 76.8 
1973 77.1 
1974 77.6 
1975 77.7 
1976 77.9 
1977 78.5 
1978 78.5 
1979 78.9 
1980 79.2 
1981 79.3 
1982 79.4 
1983 79.6 
1984 79.7 
1985 79.8 
1986 79.7 
1987 80.3 
1988 80.4 
1989 80.1 
1990 80.2 
1991 80.3 
1992 80.4 
1993 80.1 
1994 80.4 
1995 80.5 
1996 80.5 
1997 80.7 
1998 80.8 
1999 80.5 
2000 80.7 
2001 80.8 
2002 80.7 
2003 81 
2004 81.5 
2005 81.7 
2006 82 
2007 82.5 
2008 82.5 
2009 82.9 
2010 83 
2011 83.1 
2012 83 
2013 83.2 
2014 83.5 
2015 83.2 
2016 83.2 
