1961 71.1 
1962 71.2 
1963 71.2 
1964 71.2 
1965 71.2 
1966 71.3 
1967 71.4 
1968 71.4 
1969 71.5 
1970 71.5 
1971 71.6 
1972 71.7 
1973 71.8 
1974 72 
1975 72.1 
1976 72.3 
1977 72.5 
1978 72.7 
1979 72.9 
1980 73.2 
1981 73.4 
1982 73.6 
1983 73.7 
1984 73.8 
1985 74 
1986 74.1 
1987 74.5 
1988 74.8 
1989 75.2 
1990 75.5 
1991 75.8 
1992 76.1 
1993 76.3 
1994 76.6 
1995 76.8 
1996 77.1 
1997 77.4 
1998 77.7 
1999 78.1 
2000 78.4 
2001 78.7 
2002 79 
2003 79.3 
2004 79.6 
2005 79.8 
2006 80.1 
2007 80.3 
2008 80.5 
2009 80.7 
2010 80.8 
2011 81 
2012 81.2 
2013 81.4 
2014 81.5 
2015 81.7 
2016 81.7 
