1960 71.6 
1961 71.4 
1962 71.2 
1963 71.1 
1964 71.5 
1965 71.3 
1966 71.6 
1967 71.5 
1968 71.4 
1969 71 
1970 71.2 
1971 71.3 
1972 71.5 
1973 71.5 
1974 71.9 
1975 71.9 
1976 72.2 
1977 72.5 
1978 72.6 
1979 72.4 
1980 72.4 
1981 72.7 
1982 72.7 
1983 72.8 
1984 73 
1985 72.6 
1986 72.9 
1987 72.8 
1988 73.1 
1989 73.3 
1990 73.4 
1991 74 
1992 74.2 
1993 74.2 
1994 74.9 
1995 74.8 
1996 75.4 
1997 75.5 
1998 75.6 
1999 75.6 
2000 76 
2001 76.2 
2002 76.4 
2003 77.1 
2004 77.6 
2005 77.8 
2006 78.2 
2007 78.3 
2008 78.4 
2009 78.7 
2010 79 
2011 79.1 
2012 79.5 
2013 79.8 
2014 80.1 
2015 80.5 
2016 80.7 
