1960 61.1 
1961 59.9 
1962 61.2 
1963 61.8 
1964 62 
1965 62.6 
1966 62 
1967 62.8 
1968 63.3 
1969 62.8 
1970 63.6 
1971 63.1 
1972 65.2 
1973 64.4 
1974 64.8 
1975 64.6 
1976 65.3 
1977 66.4 
1978 67.1 
1979 67.9 
1980 67.9 
1981 68.2 
1982 69 
1983 69 
1984 69.2 
1985 69.4 
1986 69.9 
1987 70.3 
1988 70.3 
1989 70.9 
1990 70.6 
1991 70.5 
1992 71 
1993 71 
1994 72 
1995 71.7 
1996 71.6 
1997 72.2 
1998 72.4 
1999 72.7 
2000 73.3 
2001 73.6 
2002 73.9 
2003 74.2 
2004 75 
2005 74.9 
2006 75.5 
2007 75.9 
2008 76.2 
2009 76.5 
2010 76.8 
2011 77.3 
2012 77.3 
2013 77.6 
2014 78 
2015 78.1 
2016 78.1 
