1960 70.2 
1961 70.8 
1962 71.3 
1963 71.7 
1964 72 
1965 72.2 
1966 72.4 
1967 72.6 
1968 72.7 
1969 72.8 
1970 73.4 
1971 73.8 
1972 73.6 
1973 73.6 
1974 73.8 
1975 73.2 
1976 73.1 
1977 73.2 
1978 73.2 
1979 73 
1980 73 
1981 73.2 
1982 73.6 
1983 73.4 
1984 73 
1985 73.2 
1986 74.2 
1987 74.3 
1988 74.5 
1989 74.4 
1990 74.3 
1991 74.2 
1992 73.7 
1993 71.8 
1994 71.1 
1995 71.6 
1996 72.4 
1997 72.8 
1998 73.1 
1999 72.4 
2000 72.3 
2001 72.2 
2002 71.9 
2003 71.9 
2004 72.4 
2005 72.5 
2006 73.3 
2007 74 
2008 74.3 
2009 74.8 
2010 74.9 
2011 75.6 
2012 75.9 
2013 76.3 
2014 76.5 
2015 76.7 
2016 77.1 
