1960 49.1 
1961 49.5 
1962 49.9 
1963 50.2 
1964 50.6 
1965 51 
1966 51.4 
1967 51.8 
1968 52.2 
1969 52.6 
1970 52.9 
1971 53.3 
1972 53.6 
1973 53.9 
1974 54.3 
1975 54.6 
1976 55 
1977 55.5 
1978 56 
1979 56.5 
1980 57.1 
1981 57.6 
1982 58.3 
1983 58.9 
1984 59.4 
1985 60 
1986 60.5 
1987 61 
1988 61.5 
1989 61.9 
1990 62.2 
1991 62.4 
1992 62.4 
1993 62.3 
1994 62 
1995 61.5 
1996 60.7 
1997 59.7 
1998 58.5 
1999 57.2 
2000 55.9 
2001 54.6 
2002 53.5 
2003 52.6 
2004 51.9 
2005 51.6 
2006 51.6 
2007 52 
2008 52.7 
2009 53.5 
2010 54.4 
2011 55.3 
2012 56.1 
2013 56.8 
2014 57.2 
2015 57.5 
