1960 74.1 
1961 74.6 
1962 74.1 
1963 74.3 
1964 75.2 
1965 75.1 
1966 75.3 
1967 75.8 
1968 75.6 
1969 75.7 
1970 76.2 
1971 76.3 
1972 76.9 
1973 77.1 
1974 77.6 
1975 78.1 
1976 78.2 
1977 78.8 
1978 78.8 
1979 79 
1980 79 
1981 79.3 
1982 79.6 
1983 79.7 
1984 80.3 
1985 80.4 
1986 80.5 
1987 80.9 
1988 81 
1989 81.2 
1990 80.9 
1991 81.4 
1992 81.6 
1993 81.7 
1994 82 
1995 81.9 
1996 82.2 
1997 82.2 
1998 82.7 
1999 82.7 
2000 82.8 
2001 83.2 
2002 83.2 
2003 83.2 
2004 83.8 
2005 84 
2006 84.2 
2007 84.4 
2008 84.6 
2009 84.6 
2010 84.9 
2011 85 
2012 84.9 
2013 85 
2014 85.4 
2015 85.1 
2016 85.6 
