1960 46.3 
1961 47 
1962 47.6 
1963 48.2 
1964 48.9 
1965 49.5 
1966 50.1 
1967 50.8 
1968 51.3 
1969 51.6 
1970 52 
1971 52.4 
1972 52.8 
1973 53.2 
1974 53.5 
1975 53.9 
1976 54.2 
1977 54.6 
1978 55 
1979 55.4 
1980 55.8 
1981 56.3 
1982 56.7 
1983 57.5 
1984 58.6 
1985 59.8 
1986 60.9 
1987 62.1 
1988 62.9 
1989 63.4 
1990 65.4 
1991 65.7 
1992 66.1 
1993 66.4 
1994 66.8 
1995 67.2 
1996 67.6 
1997 68 
1998 68.3 
1999 68.6 
2000 69 
2001 69.4 
2002 69.8 
2003 70.2 
2004 70.6 
2005 71 
2006 71.2 
2007 71.4 
2008 71.5 
2009 71.7 
2010 71.8 
2011 72 
2012 72 
2013 75.3 
2014 75.3 
2015 75.3 
2016 75.3 
