1960 66.6 
1961 67.1 
1962 66.9 
1963 66.6 
1964 66.8 
1965 66.8 
1966 66.7 
1967 67 
1968 66.6 
1969 66.8 
1970 67.1 
1971 67.4 
1972 67.4 
1973 67.6 
1974 68.2 
1975 68.8 
1976 69.1 
1977 69.5 
1978 69.6 
1979 70 
1980 70 
1981 70.4 
1982 70.8 
1983 71 
1984 71.1 
1985 71.1 
1986 71.2 
1987 71.4 
1988 71.4 
1989 71.7 
1990 71.8 
1991 72 
1992 72.3 
1993 72.2 
1994 72.4 
1995 72.5 
1996 73.1 
1997 73.6 
1998 73.8 
1999 73.9 
2000 74.1 
2001 74.3 
2002 74.4 
2003 74.5 
2004 75 
2005 75 
2006 75.2 
2007 75.5 
2008 75.6 
2009 76 
2010 76.2 
2011 76.3 
2012 76.4 
2013 76.4 
2014 76.5 
2015 76.3 
2016 76.1 
